,y,d,edl,fdl,ecs,mop,fdi,erg,int,popd,urb,gee,sis,tis,edu,tech,inf,year,id,aipat,gpat
1,0.801179808,0,8.688622475,1.940657431,97.08331056,0.001063776,0.001353677,90.59,10.61287689,4.836281776,0.417297661,0.011284945,28.89,44.01,0.267943123,0.002745616,0.478356129,2006,1,0,0
2,0.792119451,0,8.863191605,1.872985003,97.4409532,0.001420398,0.008335708,102.11,11.39397335,4.852030277,0.413236916,0.010939358,31.52,42.5,0.275283056,0.006761248,0.788493355,2007,1,0,0
3,0.752433899,0,9.082734108,1.878549811,97.14862104,0.003099928,0.008990684,90.59,11.14974403,4.852030277,0.41077286,0.006806748,32.53,40.17,0.258139927,0.005397396,0.858844615,2008,1,0,0
4,0.726600141,0,9.243871689,2.256022477,95.45295508,0.004191346,0.001428586,102.11,11.6166544,4.85981226,0.408472508,0.005609807,34.61,41.54,0.239669748,0.004999351,0.992078416,2009,1,0,0
5,0.559388729,0,9.427707672,2.100156545,94.44120213,0.003892623,0.001167359,90.59,11.97764683,4.85981226,0.407425672,0.005715374,39.6,39.9,0.204345952,0.004283322,1.100865277,2010,1,0,0
6,0.553665234,0,9.647109985,2.028546307,93.43184509,0.003593899,0.001341981,102.11,12.1683712,4.867534637,0.406424135,0.005875441,44.98,37.34,0.24617206,0.004461721,0.74781197,2011,1,0,0
7,0.530503617,0,9.845752716,1.976349143,93.04106317,0.003295176,0.000894331,90.59,12.34583473,4.867534637,0.405228764,0.007552598,49,34.71,0.284687239,0.00377552,0.652855458,2012,1,0,0
8,0.503916859,0.190567464,9.884712219,1.941045932,92.42476235,0.002996452,0.003075333,90.18,12.46843719,4.875197411,0.402205646,0.010784678,53.16,31.86,0.260112099,0.003152094,0.706296398,2013,1,0,0
9,0.563253736,0.302042276,10.17034149,1.970976028,96.46621919,0.003151992,0.002672964,91.6,12.50617695,4.867534637,0.404964089,0.01159255,55.12,31.39,0.235935662,0.002959911,0.785833223,2014,1,0.693147182,0
10,0.575200183,0.510187328,10.28168392,2.045297679,96.69870657,0.003814571,8.30497E-05,85.93,12.61153793,4.867534637,0.406824142,0.009096187,55.24,32.32,0.239036181,0.002969692,0.864459602,2015,1,0.693147182,0
11,0.580119366,0.571531296,10.36627769,2.134877304,96.84545301,0.002401699,0.000656458,66.7,12.89921951,4.85981226,0.407894731,0.012712564,53.47,34.66,0.228107691,0.005012904,1.029468539,2016,1,1.098612309,0
12,0.610487281,0.703839362,10.50949574,2.038805714,96.84545301,0.003098516,0.001082743,73.6,13.08154106,4.85981226,0.406557381,0.013022508,54.375,34.25,0.220647851,0.004686433,1.08026139,2017,1,0.693147182,0
13,0.60144939,0.686406672,10.65829372,1.931970329,32.88035583,0.00413523,0.002077258,52.81,13.27078342,4.85981226,0.407894731,0.012683578,55.28,33.84,0.183678239,0.003426163,1.118021556,2018,1,1.098612309,0
14,0.642104713,0.538761675,10.69740677,2.019670051,35.5557773,0.007461506,0.00281893,86,13.42984772,4.85981226,0.407894731,0.00740398,46.86,41.51,0.171292217,0.003515912,1.241556007,2019,1,1.098612309,0
15,0.688094586,0.444610059,10.67770767,2.437456382,36.57990312,0.009272544,0.003864303,59.49,13.66468811,4.85981226,0.409240931,0.010366531,40.31,45.27,0.164153233,0.004250881,1.531183747,2020,1,1.098612309,0
16,0.326471824,0.190567464,9.072112083,1.633786649,37.56930322,0.045521573,0.009324978,98.34,11.50357151,5.978885651,0.358617514,0.010366531,42.27,38.63,0.233899203,0.001732908,0.426805204,2006,2,0,0
17,0.323701824,0.190567464,9.25770092,1.615759557,40.50835485,0.047948346,0.018291176,98.34,11.89720821,5.98896122,0.356797993,0.010366531,41.37,39.51,0.242036348,0.004137135,0.554891152,2007,2,0,0
18,0.335401318,0.360371619,9.441055298,1.547364724,43.24148992,0.052497424,0.017303681,98.34,11.95761108,5.993961334,0.355112493,0.010366531,42.44,38.52,0.239632872,0.008834375,0.62326081,2008,2,0,0
19,0.354774689,0.238311678,9.533220291,2.008684374,43.28687476,0.044177334,0.014641276,98.34,12.18638039,5.996451855,0.353965044,0.006155109,46.89,34.59,0.227389741,0.012070617,0.780559001,2009,2,0,0
20,0.359643597,0.479399264,9.831131935,1.719938974,39.28451377,0.046650228,0.016151818,98.34,12.50187206,5.996451855,0.354114562,0.006495194,53.03,31.23,0.222408698,0.015333822,0.819132485,2010,2,0,0
21,0.357600258,0.513846755,10.03858662,1.720881274,31.24671894,0.04559528,0.014498751,98.33,12.86865997,6.001414776,0.352351695,0.005728172,55.33,29.8,0.230998652,0.016156736,0.682193643,2011,2,0,0
22,0.362541267,0.716673195,10.1500349,1.87701613,30.76578503,0.057520842,0.015165847,98.21,12.89921951,6.003887177,0.351386189,0.006947125,55.85,29.72,0.218864822,0.018348702,0.71487142,2012,2,0.693147182,0
23,0.312373677,0.982581139,10.03455925,2.145648422,29.78072207,0.078789457,0.019728587,96.9,13.1615839,6.006353378,0.350651443,0.005581972,53.14,32.61,0.204255792,0.019960511,0.836053958,2013,2,1.386294365,0.693147182
24,0.344601078,1.564488769,10.26840878,2.264636147,90.81935221,0.089775857,0.010606883,96.54,13.19932461,5.998936653,0.351103246,0.004843788,52.76,33.49,0.193905223,0.020671229,0.903151167,2014,2,1.386294365,1.098612309
25,0.314964043,1.438268542,10.3449955,2.794632257,90.16670185,0.107420709,0.008020642,96.8,13.2176733,6.001414776,0.350425988,0.006319883,50.36,36.53,0.186500078,0.021293483,0.977528908,2015,2,3.80666256,1.609437943
26,0.31020081,1.482268453,10.41313267,2.690224439,89.98325761,0.076177607,0.007840562,97.33,13.51440525,6.001414776,0.412098289,0.00625,47.49,39.97,0.188295934,0.023364888,0.993952694,2016,2,4.094344616,1.791759491
27,0.317832362,1.565913916,10.51672554,2.687945062,89.98325761,0.054917074,0.00764108,94.61,13.68767738,6.001414776,0.410546154,0.007029053,48.68,39.835,0.191517968,0.025688025,0.961653551,2017,2,4.262680054,1.791759491
28,0.302423284,1.894295692,10.62347126,2.66903647,73.88532561,0.049971657,0.008797732,94.61,13.93772793,6.001414776,0.412878782,0.010135639,49.87,39.7,0.185731985,0.025058973,0.935862921,2018,2,3.526360512,1.945910096
29,0.310270781,1.500047803,10.83119297,2.353184922,88.25221368,0.048082402,0.008981667,94.61,14.03865433,6.001414776,0.412098289,0.00862069,44.92,45.98,0.18377302,0.024496066,0.8109769,2019,2,3.295836926,2.197224617
30,0.327712076,1.305948853,10.97992229,2.578629011,81.04981595,0.052722528,0.010202747,94.61,14.14481449,6.001414776,0.413270146,0.00846891,43.23,47.04,0.180739376,0.024126095,0.837631807,2020,2,2.77258873,2.079441547
31,0.54876804,0,8.448271751,2.32529102,97.61109834,0.041148407,0.002029395,76.56,10.43117046,5.641907215,0.475132197,0.006118679,39.84,39.9,0.202496595,0.002050844,0.355077535,2006,3,0,0
32,0.590637529,0,8.619027138,2.206199286,97.33980241,0.045071841,0.001773451,76.56,12.97107506,5.666426659,0.463794142,0.003282725,40.04,39.94,0.227496908,0.007083591,0.550244784,2007,3,0,0
33,0.535321066,0,8.797397614,2.210041026,98.04227516,0.048995276,0.002154185,76.56,10.78725529,5.676753998,0.458749533,0.007033585,38.1,40.08,0.232430302,0.006321474,0.407960241,2008,3,0,0
34,0.53997765,0,8.939843178,2.130758319,98.23012855,0.041292366,0.002530597,76.57,11.12284184,5.686975479,0.453398675,0.005668934,35.35,46.18,0.194363676,0.006129127,0.459206209,2009,3,0,0
35,0.500801339,0,9.215228081,2.540949506,97.28558598,0.03784068,0.007091495,76.6,11.45847988,5.710426807,0.443189532,0.006434205,38.03,44.65,0.188988312,0.006705689,0.478029031,2010,3,0,0
36,0.418962394,0,9.430920601,2.439501679,95.71266968,0.033882864,0.009318919,76.7,11.72943115,5.720311642,0.439249039,0.00862069,39.44,45.03,0.185844212,0.00720816,0.732565017,2011,3,0,0
37,0.376123415,0,9.645623207,2.363398712,92.44976785,0.031149227,0.009240937,77,11.77528954,5.726847649,0.436005622,0.00331825,38.86,46.06,0.201847685,0.006700018,0.941970767,2012,3,0,0
38,0.353962232,0.442483932,9.616205215,2.425574611,91.89049992,0.024309966,0.01159818,75.51,11.98292923,5.730099678,0.434173673,0.008141113,38.32,47.47,0.192361624,0.006879131,0.685274257,2013,3,0,0
39,0.338816032,0.534990489,10.024333,2.26748106,95.33205217,0.017470706,0.011814076,98,12.15477943,5.746203423,0.427586198,0.005152742,36.47,48.42,0.190764623,0.007058113,0.821666923,2014,3,1.098612309,0
