,y,d,ln_prgdp,金融发展程度1,能源消费结构,对外开放程度,外商投资水平,环境规制,ln_internet,ln_person3,城镇化,词频占比,第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),教育水平支出,科学技术水平,基础设施水平2,year,id,ln_AI_f,ln_GT_f
1,0.801179808,0,8.688622475,1.940657431,97.08331056,0.001063776,0.001353677,90.59,10.61287689,4.836281776,0.417297661,0.011284945,28.89,44.01,0.267943123,0.002745616,0.478356129,2006,1,0,0
2,0.792119451,0,8.863191605,1.872985003,97.4409532,0.001420398,0.008335708,102.11,11.39397335,4.852030277,0.413236916,0.010939358,31.52,42.5,0.275283056,0.006761248,0.788493355,2007,1,0,0
3,0.752433899,0,9.082734108,1.878549811,97.14862104,0.003099928,0.008990684,90.59,11.14974403,4.852030277,0.41077286,0.006806748,32.53,40.17,0.258139927,0.005397396,0.858844615,2008,1,0,0
4,0.726600141,0,9.243871689,2.256022477,95.45295508,0.004191346,0.001428586,102.11,11.6166544,4.85981226,0.408472508,0.005609807,34.61,41.54,0.239669748,0.004999351,0.992078416,2009,1,0,0
5,0.559388729,0,9.427707672,2.100156545,94.44120213,0.003892623,0.001167359,90.59,11.97764683,4.85981226,0.407425672,0.005715374,39.6,39.9,0.204345952,0.004283322,1.100865277,2010,1,0,0
6,0.553665234,0,9.647109985,2.028546307,93.43184509,0.003593899,0.001341981,102.11,12.1683712,4.867534637,0.406424135,0.005875441,44.98,37.34,0.24617206,0.004461721,0.74781197,2011,1,0,0
7,0.530503617,0,9.845752716,1.976349143,93.04106317,0.003295176,0.000894331,90.59,12.34583473,4.867534637,0.405228764,0.007552598,49,34.71,0.284687239,0.00377552,0.652855458,2012,1,0,0
8,0.503916859,0.190567464,9.884712219,1.941045932,92.42476235,0.002996452,0.003075333,90.18,12.46843719,4.875197411,0.402205646,0.010784678,53.16,31.86,0.260112099,0.003152094,0.706296398,2013,1,0,0
9,0.563253736,0.302042276,10.17034149,1.970976028,96.46621919,0.003151992,0.002672964,91.6,12.50617695,4.867534637,0.404964089,0.01159255,55.12,31.39,0.235935662,0.002959911,0.785833223,2014,1,0.693147182,0
10,0.323701824,0.190567464,9.25770092,1.615759557,40.50835485,0.047948346,0.018291176,98.34,11.89720821,5.98896122,0.356797993,0.010366531,41.37,39.51,0.242036348,0.004137135,0.554891152,2007,2,0,0
11,0.359643597,0.479399264,9.831131935,1.719938974,39.28451377,0.046650228,0.016151818,98.34,12.50187206,5.996451855,0.354114562,0.006495194,53.03,31.23,0.222408698,0.015333822,0.819132485,2010,2,0,0
12,0.312373677,0.982581139,10.03455925,2.145648422,29.78072207,0.078789457,0.019728587,96.9,13.1615839,6.006353378,0.350651443,0.005581972,53.14,32.61,0.204255792,0.019960511,0.836053958,2013,2,1.386294365,0.693147182
13,0.53997765,0,8.939843178,2.130758319,98.23012855,0.041292366,0.002530597,76.57,11.12284184,5.686975479,0.453398675,0.005668934,35.35,46.18,0.194363676,0.006129127,0.459206209,2009,3,0,0
14,0.500801339,0,9.215228081,2.540949506,97.28558598,0.03784068,0.007091495,76.6,11.45847988,5.710426807,0.443189532,0.006434205,38.03,44.65,0.188988312,0.006705689,0.478029031,2010,3,0,0
15,0.338816032,0.534990489,10.024333,2.26748106,95.33205217,0.017470706,0.011814076,98,12.15477943,5.746203423,0.427586198,0.005152742,36.47,48.42,0.190764623,0.007058113,0.821666923,2014,3,1.098612309,0
16,0.210100498,0.190567464,9.650271416,1.259148803,63.7244464,0.122178993,0.007022993,87.92,12.57461071,6.626717567,0.426861942,0.00478053,60.38,25.77,0.246958666,0.016744289,0.531723544,2007,4,0,0
17,0.234964847,0.190567464,9.899680138,1.093950918,68.28184348,0.167642897,0.006822731,87.92,12.77667332,6.639875889,0.421241879,0.006541648,62.49,23.71,0.243913561,0.019774362,0.546821848,2008,4,0,0
18,0.244590335,0.390529811,9.979429245,1.31054991,67.26279556,0.057074352,0.007143251,87.92,12.98425961,6.650279045,0.416986525,0.003874388,60.14,27.21,0.228626867,0.018084121,0.658416399,2009,4,0,0
19,0.254122089,0.241944119,10.13974476,1.219232602,68.82203259,0.080913594,0.007919599,87.92,12.92010021,6.664409161,0.411076725,0.005050505,61.52,26.39,0.226161843,0.017569392,0.680065583,2010,4,0,0
20,0.242297228,0.406480521,10.26833916,1.208542992,70.42626039,0.080734517,0.00668687,88.02,13.0801506,6.680854797,0.404467762,0.004050309,58.75,29.47,0.241428107,0.019050751,0.622456849,2011,4,0,0
21,0.241390616,0.319898874,10.3295393,1.304830394,70.16447667,0.050592014,0.012719699,91.27,13.25339127,6.693323612,0.403035402,0.004575612,57.49,30.55,0.225125225,0.017572795,0.689600892,2012,4,0.693147182,0
22,0.301196561,0.761223376,10.3934164,1.360526906,89.59964092,0.196513268,0.009497286,26.64,12.34609509,5.932245255,0.507236004,0.005320328,54.8,39.83,0.109753478,0.001497044,0.333122361,2006,5,0,0
23,0.321629952,0.908933461,10.55547428,1.311404929,90.89795116,0.193214002,0.014611544,26.64,12.60422421,5.93753624,0.505353332,0.003971756,55.79,39.65,0.124965051,0.012185317,0.355120444,2007,5,0.693147182,1.098612309
24,0.348840429,1.043546557,10.73269463,1.304261338,90.99545662,0.201981345,0.025122404,26.64,12.74227333,5.940171242,0.503670812,0.004952129,54.65,40.8,0.1219991,0.009671767,0.435481681,2008,5,0.693147182,1.609437943
25,0.35050139,0.939355969,10.80569935,1.557729732,88.87689693,0.101247954,0.029281173,26.65,12.9754858,5.940171242,0.50279808,0.005414077,52.79,42.44,0.1229304,0.008917924,0.505659028,2009,5,0.693147182,2.079441547
26,0.38088811,1.110810161,10.97551632,1.403185234,90.22353854,0.124358033,0.028828349,26.58,13.19727421,5.940171242,0.503141105,0.002126905,54.32,41.3,0.106112897,0.009715157,0.560356715,2010,5,0,2.302585125
27,0.325680771,0.985675395,11.13055134,1.323410734,88.7497274,0.127604448,0.029687025,26.99,13.22359562,5.940171242,0.503412962,0.005425936,53.4,41.99,0.144259259,0.008640155,0.575300448,2011,5,0.693147182,2.197224617
28,0.297980419,1.318354845,11.14491463,1.467925951,88.32037154,0.106780407,0.033135665,24.78,13.33747482,5.93753624,0.505136967,0.007065057,53.23,41.65,0.114236912,0.008457094,0.676034118,2012,5,2.079441547,2.197224617
29,0.289947754,1.102857947,11.22457695,1.501827597,92.47659866,0.115213235,0.032672519,24.19,13.33747482,5.934894085,0.506003439,0.005446058,53.06,41.91,0.094769351,0.007818668,0.708419532,2013,5,2.484906673,1.945910096
30,0.289242572,0,9.683152199,1.409713035,86.12762678,0.03531596,0.009901992,36.12,10.21464157,3.33220458,0.35115099,0.00012974,44.93,29.07,0.133875369,0.004419105,0.755309143,2006,6,0,0
31,0.30161821,0.302042276,10.13606644,1.222352298,75.09692791,0.045366344,0.007396549,36.05,11.11244774,3.367295742,0.340540528,0.002056942,52.3,26.6,0.131254831,0.005376464,0.763517515,2008,6,1.098612309,0
32,0.308790805,0.351626128,10.28820515,1.229343094,73.45641616,0.046485802,0.006438907,35.77,11.40756512,3.295836926,0.36353144,0.003020543,54.9,25.62,0.126578654,0.003532507,1.102602489,2009,6,1.098612309,0
33,0.320795073,0,10.47624493,1.335324065,77.98915083,0.059770232,0.005194972,34.49,11.48349667,3.367295742,0.338091671,0.005527124,56.3,23.97,0.131608005,0.006900449,0.936824871,2010,6,1.098612309,0
34,0.322811442,0,10.67169571,1.293413795,64.78582234,0.086333666,0.004584852,29.06,11.73366642,3.367295742,0.337259114,0.004947746,57.63,23.11,0.123682483,0.004176999,0.88187017,2011,6,0,0
35,0.324606867,0,10.79573154,1.339333358,69.29462622,0.098670212,0.020179386,13,12.04355335,3.367295742,0.337439746,0.005117998,58.87,22.54,0.108449137,0.003892583,0.861898,2012,6,0,0
36,0.338972011,0.190567464,10.7281456,1.470720694,63.79569987,0.10607716,0.006138381,62.32,12.15477943,3.33220458,0.343886465,0.004541584,56.23,24.33,0.115168238,0.00483898,0.962006252,2013,6,0,0
37,0.356497118,0.190567464,10.856534,1.594926682,95.89090634,0.200402601,0.007112522,61.8,12.15477943,3.295836926,0.352743566,0.010866284,55.13,25.45,0.119698433,0.003105244,1.085049685,2014,6,0,0
38,1.111439919,0.214767054,8.456380844,1.50617191,55.10275113,0.008635277,0.000256484,97.32,10.94614697,5.707110405,0.280739635,0.003189066,21.13,37.35,0.170950002,0.001980345,0.4056114,2006,7,0,0
39,1.023030578,0,8.636219978,1.495766985,50.86304941,0.01201285,0.00028928,97.18,10.94087982,5.717027664,0.277911395,0.005342832,22.78,35.62,0.204660652,0.00412845,0.46458065,2007,7,0,0
