,y,d,ln_prgdp,金融发展程度1,能源消费结构,对外开放程度,外商投资水平,环境规制,ln_internet,ln_person3,城镇化,词频占比,第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),教育水平支出,科学技术水平,基础设施水平2,year,id,ln_AI_f,ln_GT_f
1,0.580119366,0.571531296,10.36627769,2.134877304,96.84545301,0.002401699,0.000656458,66.7,12.89921951,4.85981226,0.407894731,0.012712564,53.47,34.66,0.228107691,0.005012904,1.029468539,2016,1,1.098612309,0
2,0.610487281,0.703839362,10.50949574,2.038805714,96.84545301,0.003098516,0.001082743,73.6,13.08154106,4.85981226,0.406557381,0.013022508,54.375,34.25,0.220647851,0.004686433,1.08026139,2017,1,0.693147182,0
3,0.60144939,0.686406672,10.65829372,1.931970329,32.88035583,0.00413523,0.002077258,52.81,13.27078342,4.85981226,0.407894731,0.012683578,55.28,33.84,0.183678239,0.003426163,1.118021556,2018,1,1.098612309,0
4,0.688094586,0.444610059,10.67770767,2.437456382,36.57990312,0.009272544,0.003864303,59.49,13.66468811,4.85981226,0.409240931,0.010366531,40.31,45.27,0.164153233,0.004250881,1.531183747,2020,1,1.098612309,0
5,0.31020081,1.482268453,10.41313267,2.690224439,89.98325761,0.076177607,0.007840562,97.33,13.51440525,6.001414776,0.412098289,0.00625,47.49,39.97,0.188295934,0.023364888,0.993952694,2016,2,4.094344616,1.791759491
6,0.317832362,1.565913916,10.51672554,2.687945062,89.98325761,0.054917074,0.00764108,94.61,13.68767738,6.001414776,0.410546154,0.007029053,48.68,39.835,0.191517968,0.025688025,0.961653551,2017,2,4.262680054,1.791759491
7,0.310270781,1.500047803,10.83119297,2.353184922,88.25221368,0.048082402,0.008981667,94.61,14.03865433,6.001414776,0.412098289,0.00862069,44.92,45.98,0.18377302,0.024496066,0.8109769,2019,2,3.295836926,2.197224617
8,0.327712076,1.305948853,10.97992229,2.578629011,81.04981595,0.052722528,0.010202747,94.61,14.14481449,6.001414776,0.413270146,0.00846891,43.23,47.04,0.180739376,0.024126095,0.837631807,2020,2,2.77258873,2.079441547
9,0.333060167,0.741982222,10.20599651,2.33937497,92.57948845,0.013478385,0.012091109,96,12.34583473,5.765191078,0.41822657,0.007206208,33.2,48.72,0.212821602,0.009005853,0.856122384,2015,3,1.098612309,0
10,0.317117029,0.860693455,10.31612682,2.536295145,91.9558411,0.016348383,0.015073622,99,12.50617695,5.780743599,0.413333327,0.009976976,32.38,49.93,0.198853579,0.008742594,0.930988094,2016,3,1.098612309,0
11,0.299746044,0.784662247,10.44421196,2.560730356,91.9558411,0.018248859,0.017174406,89.71,12.79385948,5.786897182,0.411960125,0.00806827,32.25,50.125,0.186151016,0.010300061,0.993673384,2017,3,0,1.098612309
12,0.307878311,1.050346255,10.49581909,2.400288674,86.62613343,0.019802449,0.007323235,80.41,12.99452972,5.789960384,0.407894731,0.007000946,32.12,50.32,0.182458449,0.012954016,1.045432658,2018,3,0,1.098612309
13,0.290529759,0.808250725,10.57584476,2.344338636,88.70968538,0.012269048,0.008959091,71.76,13.18063259,5.793013573,0.403908789,0.008347245,31.65,51.34,0.183573101,0.014623673,1.088215909,2019,3,0.693147182,1.098612309
14,0.337808607,0.708841324,10.57543659,2.455159049,53.37267145,0.005230714,0.010414163,70.7,13.32121468,5.793013573,0.403908789,0.006237817,30.3,51.5,0.193283853,0.018835189,1.161357291,2020,3,0.693147182,0
15,0.245791872,0.83351773,10.51401329,1.595774974,73.87382286,0.04719644,0.016211522,89.4,13.74293995,6.732210636,0.387075871,0.008281155,50.55,38.59,0.203845156,0.014125711,0.971612181,2015,4,1.098612309,0.693147182
16,0.25739019,0.977638662,10.58666039,1.65398029,71.87573808,0.036454204,0.016386428,97.75,13.86430073,6.745236397,0.381789148,0.007800609,47.84,41.7,0.216130698,0.014365866,1.022170167,2016,4,1.386294365,1.609437943
17,0.276653274,1.065275431,10.68843842,1.706468616,71.87573808,0.025711968,0.015070122,53.93,14.07787514,6.756932259,0.383012831,0.010586456,46.995,43.7,0.21956955,0.01364818,1.0484649,2017,4,1.098612309,2.079441547
18,0.289359592,1.327814102,10.7461319,1.740264325,89.98194444,0.024735881,0.01457821,66.23,14.22762012,6.769641876,0.381180227,0.012839753,46.15,45.7,0.214202191,0.012947649,1.07076718,2018,4,1.791759491,2.197224617
19,0.261257636,1.623775959,10.66902542,2.058549978,90.94638359,0.026948632,0.017076031,68.6,14.27924442,6.78219223,0.379968196,0.008264463,44.79,46.34,0.200371254,0.011772948,1.259063481,2019,4,2.302585125,1.945910096
20,0.278183382,1.341066837,10.64982033,2.27044487,89.69031227,0.027565217,0.017282087,68.67,14.38082409,6.793466091,0.379365087,0.008111945,43.83,45.78,0.194825586,0.014242988,1.32622587,2020,4,2.302585125,1.386294365
21,0.251327839,1.666843653,10.60984707,3.655382428,93.92415467,0.123972483,0.001196728,34.83,13.60478973,5.926926136,0.511560678,0.004920839,35.84,57.32,0.126786402,0.004630632,0.324004856,2016,5,2.833213329,2.77258873
22,0.336506622,1.76702702,10.75696659,3.475114759,81.06282925,0.163044285,0.00149614,41.11,13.79530811,5.929589272,0.517543852,0.007922912,41.28,53.19,0.135202168,0.003352611,0.979449567,2018,5,3.784189701,3.178053856
23,0.367503167,1.936107278,10.80208302,3.732444069,78.51057877,0.166853868,0.000674432,36,13.85473156,5.932245255,0.520588219,0.005760614,42.74,51.27,0.12411062,0.003779092,1.610001375,2019,5,4.043051243,3.218875885
24,0.395382883,1.938780785,10.85938358,4.043520587,83.16668028,0.164519839,0.000216963,34.31,13.93772793,5.932245255,0.526002944,0.00407988,40.6,53.02,0.127658468,0.003387024,2.24487165,2020,5,3.663561583,2.639057398
25,0.415052263,0.31824103,10.84616661,2.108031079,96.34360027,0.223373682,0.015684964,32.82,12.73670101,3.295836926,0.362068951,0.008626131,44.345,35.685,0.113215549,0.003127573,0.931291228,2017,6,0,0
26,0.413356531,0.631489813,10.78296947,2.333389618,57.83016022,0.302056129,0.020485432,37.52,12.99452972,3.33220458,0.362068951,0.014187509,38.07,39.27,0.105048315,0.002573988,1.07616236,2018,6,0,0
27,0.44369079,0.713292241,10.85363865,2.255100571,63.62011994,0.315282171,0.0204984,36.42,12.79385948,3.33220458,0.362068951,0.01246048,32.51,44.52,0.094793319,0.002072456,1.080281943,2019,6,0.693147182,1.609437943
28,0.483859437,0.710364699,10.94401169,2.330210984,64.63303942,0.239313501,0.021172633,36.19,12.97154045,3.33220458,0.364161849,0.014159292,29.41,45.31,0.098489849,0.004298385,1.161823227,2020,6,0.693147182,1.609437943
29,0.460964547,0.436331451,9.705950737,3.099730933,67.83121888,0.014818513,0.002406133,84.41,12.97154045,5.730099678,0.277333319,0.007268215,46.62,36.87,0.174439781,0.003292785,2.176123475,2016,7,0,0
30,0.365828227,0.302042276,10.48826981,2.06191026,95.24436071,0.012499272,0.016613833,99.87,12.42921638,4.330733299,0.409326434,0.014792145,44.6,39.73,0.134645449,0.00422079,1.041278649,2016,8,0.693147182,0
31,0.337641477,0.853311956,10.37872791,2.45192142,95.24436071,0.011932761,0.008852451,98.65,12.61153793,4.330733299,0.413612574,0.019554956,38.77,43.725,0.119289557,0.003085593,1.221656711,2017,8,0.693147182,0
32,0.362793781,0.876886487,10.16508198,3.338748374,97.88058448,0.015812398,0.000173865,94,12.84792614,4.330733299,0.417989433,0.011320755,16.34,58.33,0.114592975,0.003912997,1.903105691,2019,8,1.386294365,0
33,0.437848239,0.258473456,10.9404192,1.858724423,90.73189131,0.030634943,0.028471456,88.37,12.20607281,4.262680054,0.680327892,0.013265532,54.43,37.15,0.12471128,0.006417548,0.951330581,2016,9,0,0
34,0.433596009,0.722073793,10.91053295,1.861356211,90.73189131,0.027815395,0.014244228,64.43,12.38839436,4.262680054,0.691666663,0.020021299,49.77,42.005,0.115805896,0.004164502,1.021809655,2017,9,0,0
35,0.452665943,0.752579689,10.68610954,2.571394892,97.28047376,0.040614931,0.020200136,62,12.64432716,4.262680054,0.709401727,0.013595533,27.76,61.52,0.106148119,0.002393992,1.486244597,2019,9,1.386294365,0
36,0.360668164,0.231448248,10.14289761,2.634191615,91.52108833,0.036533311,0.003533885,74.19,12.10071182,4.454347134,0.414914817,0.00533049,44.73,41.68,0.198718292,0.004858754,1.092541153,2015,10,0,0
37,0.389418299,0,10.15863323,2.862067328,90.02001163,0.067828864,0.004814649,76.7,12.34583473,4.454347134,0.412087917,0.00397855,40.28,45.71,0.181180377,0.005430161,1.194870519,2016,10,0,0
38,0.473565044,0,10.17160416,2.78655235,90.02001163,0.11969264,0.005914736,76,12.73670101,4.465908051,0.412087917,0.006750537,41.025,45.2,0.184700734,0.004798541,1.221005167,2017,10,0,0
39,0.375706494,0.604084551,10.23960304,3.033403909,96.93434634,0.097914403,0.007706637,75.66,13.10216045,4.477336884,0.414364636,0.011687243,37.2,44.97,0.184447002,0.003718916,1.420037037,2019,10,1.098612309,0
40,0.367281116,0.711124539,10.39513016,3.298073441,97.77881957,0.131934165,0.008563942,76.1,13.23569202,4.477336884,0.415512472,0.00938233,34.25,45.53,0.184991449,0.005484624,1.497095976,2020,10,1.098612309,0
41,0.303466138,0.870745897,10.33789635,1.729176834,99.20145915,0.123908046,0.000178231,29.06,12.94801044,4.744932175,0.268585145,0.012156238,53.37,30.27,0.193673615,0.007205155,0.952520548,2016,11,0.693147182,0
42,0.362269809,0.911733747,10.5315361,1.883910427,99.20145915,0.138379308,0.00363481,23.85,13.19932461,4.762174129,0.267942578,0.010762174,50.625,32.9,0.184557138,0.008558826,0.960901279,2017,11,0.693147182,0
43,0.30464328,0.925494015,10.3787899,1.943118266,76.6926965,0.184630394,8.21008E-05,17.32,13.51440525,4.770684719,0.266033262,0.008154944,47.88,35.53,0.179930554,0.006203442,0.968837156,2018,11,0.693147182,0
44,0.327892346,0.583590567,10.43980503,1.994438553,68.99539927,0.208113037,0.002830688,13.6,13.8737793,4.787491798,0.264775425,0.006466513,40.41,40.08,0.169147123,0.004634288,0.937560493,2019,11,0,0.693147182
45,0.324440033,0.689067066,10.52760601,2.132327886,67.89590105,0.249654798,0.005262652,11.99,13.95961094,4.795790672,0.264775425,0.005401235,39.81,40.7,0.165314597,0.004508902,0.913643628,2020,11,0,0.693147182
46,0.345773783,1.753258109,10.64196682,2.34898495,72.37620238,0.084360328,0.072079129,98.42,13.28787804,6.456769466,0.41842106,0.009777526,43.95,41.61,0.184838296,0.049924213,1.202483463,2016,12,2.639057398,2.397895336
47,0.363706924,1.444395065,10.74144936,2.269677767,72.37620238,0.077123246,0.07008564,95.64,13.44444656,6.464588165,0.417322844,0.007808911,44.205,42.515,0.177169759,0.042607685,1.485890179,2017,12,3.367295742,3.044522524
48,0.353413698,1.701503396,10.83293152,2.28358038,89.67352196,0.056903426,0.05397061,95.64,13.64115715,6.473890781,0.4140625,0.008928571,44.46,43.42,0.18050145,0.035982438,1.714945738,2018,12,3.496507645,3.401197433
49,0.349477482,1.321592808,11.00988579,2.113050219,88.25855541,0.053105035,0.046951386,95.64,13.7321291,6.48157692,0.41191709,0.005303139,41.12,47.5,0.175438217,0.049253456,1.739231162,2019,12,3.465735912,3.258096457
50,0.373517214,1.684163213,11.05420208,2.30793519,87.80067506,0.062695247,0.046410616,95.64,13.85952759,6.48768425,0.411384225,0.006085501,40.09,47.67,0.181473947,0.054035115,2.023358137,2020,12,2.77258873,2.639057398
51,0.656613245,1.246636868,11.82056427,1.458011289,85.06097458,0.029556597,0.017351835,44.72,13.06048775,4.394449234,0.678571403,0.010937038,47.11,50.43,0.128913022,0.014085442,0.764244822,2016,13,2.197224617,2.564949274
52,0.717247806,1.319258332,11.68855762,2.008088606,85.06097458,0.043208777,0.010661391,48.54,13.27078342,4.406719208,0.678571403,0.008932494,44.1,53.125,0.152939549,0.0118561,0.976246924,2017,13,2.197224617,2.995732307
53,0.595559603,1.718585491,11.53643703,2.294123871,77.76856609,0.056860956,0.003970947,40.94,13.44444656,4.406719208,0.678571403,0.014065085,41.09,55.82,0.149528544,0.013241534,1.254026066,2018,13,2.197224617,3.135494232
54,0.547032684,1.791175961,11.44929314,2.317851769,76.84280575,0.070057074,0.004600695,42.32,13.51440525,4.418840408,0.675555527,0.009036584,39.3,57.17,0.145902623,0.011742766,1.501298563,2019,13,1.791759491,2.995732307
55,0.575975199,1.406375289,11.54198933,2.123514675,77.25514714,0.056781485,0.004575383,45.66,13.58609772,4.418840408,0.677060127,0.008689356,41.37,54.86,0.141170696,0.010961794,1.595775745,2020,13,1.098612309,2.484906673
56,0.29823265,0.916681051,10.76985264,1.752050706,76.58904478,0.029988734,0.000195114,37.37,13.36922359,5.356586456,0.410880536,0.011292074,63.85,26.91,0.215713777,0.007573635,1.425171121,2015,14,1.609437943,0.693147182
57,0.297220551,1.108534575,10.84470463,1.835875558,75.61408273,0.032923908,0.000196642,53.2,13.32121468,5.361292362,0.411458343,0.009323583,63.51,27.62,0.215083844,0.012151432,1.612813564,2016,14,2.079441547,0.693147182
58,0.295246053,0.941086769,10.96837044,1.914431277,75.61408273,0.02594896,0.002226457,56.93,13.48700619,5.361292362,0.414698154,0.008722339,63.41,28.55,0.196518105,0.014044793,1.755741739,2017,14,2.302585125,1.386294365
59,0.293671183,1.023523927,11.00189972,1.968253766,87.8434017,0.028002437,0.002635087,53.52,13.74293995,5.365975857,0.417989433,0.006619938,63.31,29.48,0.188972544,0.025377336,1.877656854,2018,14,2.197224617,1.386294365
60,0.282167032,1.206274867,10.98614025,2.23703098,88.11769296,0.03776241,0.003439324,34,13.97251415,5.370637894,0.419098139,0.004522329,57.28,34.68,0.182790584,0.023346189,2.168030126,2019,14,1.945910096,1.386294365
61,0.300394212,0.938990533,11.12233925,2.367403557,90.13176446,0.034885375,0.00398528,51.22,14.11561489,5.370637894,0.421333343,0.006837607,55.38,35.62,0.182464855,0.014856736,2.367239701,2020,14,1.386294365,0.693147182
62,0.249570072,1.887830973,10.30868626,2.698201524,86.84494336,0.073927992,0.013438084,98.84,14.72376919,6.306275368,0.451532722,0.01149814,48.37,38.61,0.213636286,0.006119219,0.836754247,2016,15,3.258096457,4.077537537
63,0.291596505,2.047432899,10.29485416,2.991308259,86.84494336,0.093553609,0.014331708,42,14.85931492,6.315358162,0.454545468,0.011968504,45.28,42.44,0.217775884,0.006740978,0.96060966,2017,15,3.433987141,4.204692841
64,0.290722493,2.091155291,10.34357929,3.426135969,91.91990342,0.089075331,0.018093664,76,14.95334339,6.32435894,0.451158941,0.008855586,42.19,46.27,0.157499942,0.004099397,1.080578006,2018,15,3.433987141,4.234106541
65,0.349022418,2.296277523,10.44199657,4.181175139,94.81872198,0.07740043,0.022945248,73.08,15.12113667,6.340359211,0.449855536,0.007816712,33.43,54.15,0.154827284,0.004075144,1.226249949,2020,15,3.044522524,3.68887949
66,0.415755155,0.302042276,10.07289314,2.584298841,97.38119111,0.028804686,0.001308123,84.78,12.54254532,4.88280201,0.471264362,0.007385265,34.89,40.44,0.186282808,0.004474929,1.087933557,2016,16,0,0
67,0.430953112,0.724376142,10.16808033,2.667597263,97.38119111,0.031840214,0.00102627,76.81,12.82125854,4.88280201,0.467680603,0.008069397,36.49,39.765,0.185328009,0.003527281,1.232414516,2017,16,0,0
68,0.387167747,0.788467526,10.24594212,2.512006316,86.22997802,0.037475032,0.002121994,80.74,13.10216045,4.88280201,0.465909094,0.00874256,38.09,39.09,0.188133346,0.003261256,1.352476641,2018,16,0,0
69,0.407740175,1.0358845,10.50638199,2.06868616,73.92536671,0.050053694,0.000286421,91,13.28787804,4.88280201,0.465909094,0.006835762,38.21,40.44,0.16831165,0.002609211,1.211052445,2019,16,0,0
70,0.377364707,0.757761657,10.67359543,2.02965812,79.31890906,0.038608927,0.001027762,74.11,13.40754223,4.88280201,0.465028346,0.008847926,37.32,39.6,0.171624535,0.002592459,1.262411396,2020,16,0,0
71,0.425626723,1.070844412,11.02809238,1.341857448,92.05698475,0.203393831,0.013856683,95,12.82125854,6.255750179,0.402298838,0.007972487,51.27,31.37,0.186888148,0.015949315,1.004418616,2016,17,2.197224617,1.098612309
72,0.531717695,0.845064282,11.21691513,1.435492946,92.05698475,0.18771208,0.004636283,98.84,13.88316917,6.251904011,0.400000006,0.007182403,49.67,33.36,0.182269113,0.021568793,0.992661279,2017,17,1.945910096,0.693147182
73,0.506055801,1.038627386,11.19245815,1.521336255,53.7394022,0.264226437,0.002773383,96.66,13.27078342,6.253829002,0.393258423,0.006319115,48.07,35.35,0.176287043,0.025981854,0.982906468,2018,17,1.386294365,1.098612309
74,0.559967226,1.177220106,11.25097656,1.599282014,57.37314916,0.226057033,0.006026776,96,13.42984772,6.253829002,0.388888896,0.006375369,42.88,40.84,0.184601316,0.011577658,0.986389777,2019,17,1.386294365,1.098612309
75,0.471896029,0.787934601,11.14725304,1.758312921,51.30927707,0.210433171,0.009531867,95.85,13.52782822,6.253829002,0.385674924,0.004751462,38.06,45.73,0.17460398,0.002329087,1.0759787,2020,17,1.386294365,0.693147182
76,0.33173956,0.543751657,11.12219143,1.738525364,93.13059596,0.179409205,0.005287248,16.1,12.73670101,5.192956924,0.654718578,0.00667881,51.43,42.81,0.146102131,0.009278138,0.501876246,2015,19,0.693147182,0.693147182
77,0.341149499,0.76120311,10.70873451,2.774011758,92.25818371,0.223502039,0.005263871,45.01,13.03898144,5.187386036,0.660000026,0.006074104,43.46,47.7,0.137452713,0.00430096,0.306475018,2016,19,1.609437943,0
78,0.357510726,0.877751589,10.73748302,3.124682939,92.25818371,0.327993851,0.001161647,41.57,12.99452972,5.181783676,0.668918908,0.005451029,44.46,48.08,0.140259491,0.003637597,0.144140209,2017,19,1.386294365,0
79,0.39171193,0.848092973,10.75092125,3.851652241,96.29881173,0.237900128,0.003834365,44,13.03898144,5.170484066,0.682758629,0.006572295,47.77,45.59,0.106586893,0.001360299,1.041850448,2019,19,0,0.693147182
80,0.303467488,1.297706366,11.10748005,2.034888166,97.8588878,0.257143285,0.006911592,76.5,14.00613117,6.006353378,0.487309635,0.010286715,45.575,45.3,0.182947724,0.029082729,0.909049921,2017,20,2.995732307,3.044522524
81,0.323410617,1.276657343,11.11847401,2.05879785,82.55957922,0.309938951,0.00486659,79,14.15198326,6.008813381,0.4836272,0.008871638,44.89,46.26,0.174976022,0.029513648,0.942707648,2018,20,3.044522524,2.944438934
82,0.352515871,1.408957481,11.04514313,2.277402564,76.81697213,0.355311355,0.006098308,81.5,14.2342205,6.011267185,0.48241207,0.006197183,42.37,48.27,0.162955748,0.034600104,1.080818844,2019,20,3.091042519,2.944438934
83,0.372104483,1.167946339,11.06530952,2.501322408,73.45978488,0.325956938,0.00660635,79.02,14.2342205,6.013715267,0.483018875,0.004724733,40.75,49.56,0.152357185,0.03730048,1.125161643,2020,20,2.302585125,2.079441547
84,0.326013118,1.446465731,10.01614666,2.737986005,89.11540919,0.039017264,0.045840764,97.39,13.69897652,6.622736454,0.251920134,0.009371147,38.805,43.1,0.180046599,0.016507946,0.845769386,2017,21,2.944438934,0.693147182
85,0.308640774,1.335760593,10.10834503,2.95613495,84.44701738,0.043389398,0.046686756,98,13.89247131,6.626717567,0.249619484,0.006447188,38.9,44.63,0.186551624,0.015182739,0.853496472,2018,21,2.944438934,1.386294365
86,0.343447352,1.086991191,10.41373348,2.446036821,81.80553876,0.041129617,0.038028918,98.21,14.03062153,6.62936306,0.247360483,0.006308706,35.55,50.83,0.205080493,0.015494938,0.68477673,2019,21,2.708050251,2.079441547
87,0.38868516,1.273786783,10.49559784,2.703248062,84.55755021,0.040960133,0.03923306,98.24,14.20077324,6.633318424,0.246246248,0.005331837,34.99,50.83,0.205367372,0.01410801,0.722739756,2020,21,2.302585125,1.945910096
88,0.37217642,1.033308268,10.71038723,1.793702393,95.39864501,0.051674615,0.008871153,100,13.84506893,6.311734676,0.411953092,0.007416564,49.58,40.8,0.213384249,0.003806698,0.934537658,2015,22,1.386294365,1.609437943
89,0.427460009,1.101323962,10.78692436,2.060448833,96.13228219,0.067856883,0.01156259,99.28,14.39212418,6.311734676,0.410025716,0.011406096,46.285,45.61,0.221757436,0.008367784,1.068783085,2017,22,2.079441547,2.302585125
90,0.408659836,1.359467983,10.79059696,2.198439887,73.94230586,0.086306973,0.012104741,99.41,14.57631683,6.311734676,0.407407403,0.007889877,42.98,49.52,0.209938028,0.009264893,1.152402828,2018,22,2.079441547,2.397895336
91,0.418950349,1.320541143,10.77191067,2.492208891,58.59569899,0.10341558,0.013784695,82.11,14.64406204,6.311734676,0.405336708,0.006735087,39.86,51.98,0.21955197,0.007201201,1.286099443,2019,22,2.302585125,2.484906673
92,0.434452136,1.350893497,10.83393764,2.711384324,54.60326295,0.086027027,0.014194515,85.08,14.73180103,6.311734676,0.40688777,0.009837678,38.76,52.73,0.211949548,0.008045435,1.349281595,2020,22,1.791759491,1.945910096
93,0.508778395,1.285409212,10.97095299,1.440016198,88.48419726,0.029774147,0.024370423,98.93,14.10818005,5.774551392,0.348760337,0.006711409,37.87,51.88,0.129499819,0.015065624,0.750630619,2018,23,1.609437943,1.386294365
94,0.347654112,1.442473412,11.68814659,2.445901586,78.22001121,0.41486583,0.050131445,98.2,13.89247131,6.729824066,0.803498209,0.006436513,51.61,45.22,0.159228018,0.052911852,0.653556083,2013,24,4.060442924,3.713572025
