,y,d,edl,fdl,ecs,mop,fdi,erg,int,popd,urb,gee,sis,tis,edu,tech,inf,year,id,aipat,gpat
1,0.792119451,0.0,8.863191605,1.872985003,97.4409532,0.001420398,0.008335708,102.11,11.39397335,4.852030277,0.413236916,0.010939358,31.52,42.5,0.275283056,0.006761248,0.788493355,2007,1,0.0,0.0
2,0.752433899,0.0,9.082734108,1.878549811,97.14862104,0.003099928,0.008990684,90.59,11.14974403,4.852030277,0.41077286,0.006806748,32.53,40.17,0.258139927,0.005397396,0.858844615,2008,1,0.0,0.0
3,0.726600141,0.0,9.243871689,2.256022477,95.45295508,0.004191346,0.001428586,102.11,11.6166544,4.85981226,0.408472508,0.005609807,34.61,41.54,0.239669748,0.004999351,0.992078416,2009,1,0.0,0.0
4,0.559388729,0.0,9.427707672,2.100156545,94.44120213,0.003892623,0.001167359,90.59,11.97764683,4.85981226,0.407425672,0.005715374,39.6,39.9,0.204345952,0.004283322,1.100865277,2010,1,0.0,0.0
5,0.553665234,0.0,9.647109985,2.028546307,93.43184509,0.003593899,0.001341981,102.11,12.1683712,4.867534637,0.406424135,0.005875441,44.98,37.34,0.24617206,0.004461721,0.74781197,2011,1,0.0,0.0
6,0.688094586,0.444610059,10.67770767,2.437456382,36.57990312,0.009272544,0.003864303,59.49,13.66468811,4.85981226,0.409240931,0.010366531,40.31,45.27,0.164153233,0.004250881,1.531183747,2020,1,1.098612309,0.0
7,0.323701824,0.190567464,9.25770092,1.615759557,40.50835485,0.047948346,0.018291176,98.34,11.89720821,5.98896122,0.356797993,0.010366531,41.37,39.51,0.242036348,0.004137135,0.554891152,2007,2,0.0,0.0
8,0.335401318,0.360371619,9.441055298,1.547364724,43.24148992,0.052497424,0.017303681,98.34,11.95761108,5.993961334,0.355112493,0.010366531,42.44,38.52,0.239632872,0.008834375,0.62326081,2008,2,0.0,0.0
9,0.354774689,0.238311678,9.533220291,2.008684374,43.28687476,0.044177334,0.014641276,98.34,12.18638039,5.996451855,0.353965044,0.006155109,46.89,34.59,0.227389741,0.012070617,0.780559001,2009,2,0.0,0.0
10,0.590637529,0.0,8.619027138,2.206199286,97.33980241,0.045071841,0.001773451,76.56,12.97107506,5.666426659,0.463794142,0.003282725,40.04,39.94,0.227496908,0.007083591,0.550244784,2007,3,0.0,0.0
11,0.535321066,0.0,8.797397614,2.210041026,98.04227516,0.048995276,0.002154185,76.56,10.78725529,5.676753998,0.458749533,0.007033585,38.1,40.08,0.232430302,0.006321474,0.407960241,2008,3,0.0,0.0
12,0.53997765,0.0,8.939843178,2.130758319,98.23012855,0.041292366,0.002530597,76.57,11.12284184,5.686975479,0.453398675,0.005668934,35.35,46.18,0.194363676,0.006129127,0.459206209,2009,3,0.0,0.0
13,0.500801339,0.0,9.215228081,2.540949506,97.28558598,0.03784068,0.007091495,76.6,11.45847988,5.710426807,0.443189532,0.006434205,38.03,44.65,0.188988312,0.006705689,0.478029031,2010,3,0.0,0.0
14,0.418962394,0.0,9.430920601,2.439501679,95.71266968,0.033882864,0.009318919,76.7,11.72943115,5.720311642,0.439249039,0.00862069,39.44,45.03,0.185844212,0.00720816,0.732565017,2011,3,0.0,0.0
15,0.353962232,0.442483932,9.616205215,2.425574611,91.89049992,0.024309966,0.01159818,75.51,11.98292923,5.730099678,0.434173673,0.008141113,38.32,47.47,0.192361624,0.006879131,0.685274257,2013,3,0.0,0.0
16,0.333060167,0.741982222,10.20599651,2.33937497,92.57948845,0.013478385,0.012091109,96.0,12.34583473,5.765191078,0.41822657,0.007206208,33.2,48.72,0.212821602,0.009005853,0.856122384,2015,3,1.098612309,0.0
17,0.317117029,0.860693455,10.31612682,2.536295145,91.9558411,0.016348383,0.015073622,99.0,12.50617695,5.780743599,0.413333327,0.009976976,32.38,49.93,0.198853579,0.008742594,0.930988094,2016,3,1.098612309,0.0
18,0.299746044,0.784662247,10.44421196,2.560730356,91.9558411,0.018248859,0.017174406,89.71,12.79385948,5.786897182,0.411960125,0.00806827,32.25,50.125,0.186151016,0.010300061,0.993673384,2017,3,0.0,1.098612309
19,0.290529759,0.808250725,10.57584476,2.344338636,88.70968538,0.012269048,0.008959091,71.76,13.18063259,5.793013573,0.403908789,0.008347245,31.65,51.34,0.183573101,0.014623673,1.088215909,2019,3,0.693147182,1.098612309
20,0.337808607,0.708841324,10.57543659,2.455159049,53.37267145,0.005230714,0.010414163,70.7,13.32121468,5.793013573,0.403908789,0.006237817,30.3,51.5,0.193283853,0.018835189,1.161357291,2020,3,0.693147182,0.0
21,0.321629952,0.908933461,10.55547428,1.311404929,90.89795116,0.193214002,0.014611544,26.64,12.60422421,5.93753624,0.505353332,0.003971756,55.79,39.65,0.124965051,0.012185317,0.355120444,2007,5,0.693147182,1.098612309
22,0.348840429,1.043546557,10.73269463,1.304261338,90.99545662,0.201981345,0.025122404,26.64,12.74227333,5.940171242,0.503670812,0.004952129,54.65,40.8,0.1219991,0.009671767,0.435481681,2008,5,0.693147182,1.609437943
23,0.35050139,0.939355969,10.80569935,1.557729732,88.87689693,0.101247954,0.029281173,26.65,12.9754858,5.940171242,0.50279808,0.005414077,52.79,42.44,0.1229304,0.008917924,0.505659028,2009,5,0.693147182,2.079441547
24,0.38088811,1.110810161,10.97551632,1.403185234,90.22353854,0.124358033,0.028828349,26.58,13.19727421,5.940171242,0.503141105,0.002126905,54.32,41.3,0.106112897,0.009715157,0.560356715,2010,5,0.0,2.302585125
